Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
David Goffin;28;1785;2018-12-24;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-12-24;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-12-24;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-12-24;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-12-24;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-12-24;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;35;1410;2018-12-24;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-12-24;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-12-24;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;9045;2018-12-17;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-12-17;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6420;2018-12-17;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Alexander Zverev;21;6385;2018-12-17;4;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-12-17;5;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Kevin Anderson;32;4710;2018-12-17;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4250;2018-12-17;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;4095;2018-12-17;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3590;2018-12-17;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-12-17;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-12-17;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;22;2480;2018-12-17;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-12-17;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-12-17;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-12-17;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-12-17;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-12-17;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-12-17;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-12-17;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Marco Cecchinato;26;1819;2018-12-17;20;1992-09-30;2010;78;185;Italie;Italy;Palermo;One_Handed;Right_Handed
Nikoloz Basilashvili;26;1795;2018-12-17;21;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
David Goffin;28;1785;2018-12-17;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-12-17;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-12-17;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-12-17;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-12-17;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-12-17;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;35;1410;2018-12-17;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-12-17;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-12-17;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;9045;2018-12-10;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-12-10;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6420;2018-12-10;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Alexander Zverev;21;6385;2018-12-10;4;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-12-10;5;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Kevin Anderson;32;4710;2018-12-10;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4250;2018-12-10;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;4095;2018-12-10;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3590;2018-12-10;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-12-10;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-12-10;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;22;2480;2018-12-10;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-12-10;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-12-10;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-12-10;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-12-10;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-12-10;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-12-10;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-12-10;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Marco Cecchinato;26;1819;2018-12-10;20;1992-09-30;2010;78;185;Italie;Italy;Palermo;One_Handed;Right_Handed
Nikoloz Basilashvili;26;1795;2018-12-10;21;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
David Goffin;28;1785;2018-12-10;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-12-10;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-12-10;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-12-10;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-12-10;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-12-10;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;35;1410;2018-12-10;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-12-10;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-12-10;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;9045;2018-12-03;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-12-03;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6420;2018-12-03;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Alexander Zverev;21;6385;2018-12-03;4;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-12-03;5;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Kevin Anderson;32;4710;2018-12-03;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4250;2018-12-03;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;4095;2018-12-03;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3590;2018-12-03;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-12-03;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-12-03;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;22;2480;2018-12-03;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-12-03;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-12-03;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-12-03;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-12-03;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-12-03;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-12-03;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-12-03;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Marco Cecchinato;26;1819;2018-12-03;20;1992-09-30;2010;78;185;Italie;Italy;Palermo;One_Handed;Right_Handed
Nikoloz Basilashvili;26;1795;2018-12-03;21;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
David Goffin;27;1785;2018-12-03;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-12-03;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-12-03;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-12-03;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-12-03;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-12-03;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;35;1410;2018-12-03;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-12-03;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-12-03;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;9045;2018-11-26;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-11-26;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6420;2018-11-26;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Alexander Zverev;21;6385;2018-11-26;4;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-11-26;5;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Kevin Anderson;32;4710;2018-11-26;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4250;2018-11-26;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;4095;2018-11-26;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3590;2018-11-26;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-11-26;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-11-26;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;22;2480;2018-11-26;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-11-26;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-11-26;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-11-26;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-11-26;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-11-26;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-11-26;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-11-26;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Marco Cecchinato;26;1819;2018-11-26;20;1992-09-30;2010;78;185;Italie;Italy;Palermo;One_Handed;Right_Handed
Nikoloz Basilashvili;26;1795;2018-11-26;21;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
David Goffin;27;1785;2018-11-26;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-11-26;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-11-26;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-11-26;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-11-26;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-11-26;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;35;1410;2018-11-26;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-11-26;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-11-26;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;9045;2018-11-19;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-11-19;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6420;2018-11-19;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Alexander Zverev;21;6385;2018-11-19;4;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-11-19;5;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Kevin Anderson;32;4710;2018-11-19;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4250;2018-11-19;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;4095;2018-11-19;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3590;2018-11-19;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-11-19;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-11-19;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;22;2480;2018-11-19;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-11-19;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-11-19;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-11-19;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-11-19;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-11-19;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-11-19;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-11-19;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Marco Cecchinato;26;1819;2018-11-19;20;1992-09-30;2010;78;185;Italie;Italy;Palermo;One_Handed;Right_Handed
Nikoloz Basilashvili;26;1795;2018-11-19;21;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
David Goffin;27;1785;2018-11-19;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-11-19;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-11-19;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-11-19;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-11-19;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-11-19;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;35;1410;2018-11-19;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-11-19;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-11-19;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;8045;2018-11-12;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-11-12;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6020;2018-11-12;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-11-12;4;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Alexander Zverev;21;5085;2018-11-12;5;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Kevin Anderson;32;4310;2018-11-12;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4050;2018-11-12;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;3895;2018-11-12;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3390;2018-11-12;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-11-12;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-11-12;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;21;2480;2018-11-12;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-11-12;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-11-12;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-11-12;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-11-12;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-11-12;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-11-12;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-11-12;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Marco Cecchinato;26;1819;2018-11-12;20;1992-09-30;2010;78;185;Italie;Italy;Palermo;One_Handed;Right_Handed
Nikoloz Basilashvili;26;1795;2018-11-12;21;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
David Goffin;27;1785;2018-11-12;22;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Pablo Carreno Busta;27;1705;2018-11-12;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Roberto Bautista Agut;30;1605;2018-11-12;24;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Hyeon Chung;22;1585;2018-11-12;25;1996-05-19;2014;89;188;Cor<e9>e du Sud;South Korea;Suwon;Two_Handed;Right_Handed
Richard Gasquet;32;1535;2018-11-12;26;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Denis Shapovalov;19;1440;2018-11-12;27;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Fernando Verdasco;34;1410;2018-11-12;28;1983-11-15;2001;90;188;Espagne;Spain;Madrid;Two_Handed;Left_Handed
Gael Monfils;32;1400;2018-11-12;29;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Gilles Simon;33;1370;2018-11-12;30;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Novak Djokovic;31;8045;2018-11-05;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Rafael Nadal;32;7480;2018-11-05;2;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Roger Federer;37;6020;2018-11-05;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Juan Martin del Potro;30;5300;2018-11-05;4;1988-09-23;2005;97;198;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Alexander Zverev;21;5085;2018-11-05;5;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Kevin Anderson;32;4310;2018-11-05;6;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Marin Cilic;30;4050;2018-11-05;7;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Dominic Thiem;25;3895;2018-11-05;8;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Kei Nishikori;28;3390;2018-11-05;9;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
John Isner;33;3155;2018-11-05;10;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Karen Khachanov;22;2835;2018-11-05;11;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Borna Coric;21;2480;2018-11-05;12;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Fabio Fognini;31;2315;2018-11-05;13;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Kyle Edmund;23;2150;2018-11-05;14;1995-01-08;2012;83;188;Angleterre;South Africa;Johannesburg;Two_Handed;Right_Handed
Stefanos Tsitsipas;20;2095;2018-11-05;15;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Daniil Medvedev;22;1977;2018-11-05;16;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Diego Schwartzman;26;1880;2018-11-05;17;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Milos Raonic;27;1855;2018-11-05;18;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Grigor Dimitrov;27;1835;2018-11-05;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
