Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
Andrey Rublev;24;3120;2022-08-22;11;1997-10-20;2014;75;188;Russie;Russia;Moscow;Two_Handed;Right_Handed
Taylor Fritz;24;3090;2022-08-22;12;1997-10-28;2015;86;196;Etats-Unis;CA;Rancho Santa Fe;Two_Handed;Right_Handed
Jannik Sinner;21;3020;2022-08-22;13;2001-08-16;2018;76;188;Italie;Italy;San Candido;Two_Handed;Right_Handed
Pablo Carreno Busta;31;2375;2022-08-22;14;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Matteo Berrettini;26;2360;2022-08-22;15;1996-04-12;2015;95;196;Italie;Italy;Rome;Two_Handed;Right_Handed
Diego Schwartzman;30;2200;2022-08-22;16;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Marin Cilic;33;2175;2022-08-22;17;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Roberto Bautista Agut;34;1840;2022-08-22;18;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Grigor Dimitrov;31;1730;2022-08-22;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Alex de Minaur;23;1665;2022-08-22;20;1999-02-17;2015;69;183;Australie;Australia;Sydney;Two_Handed;Right_Handed
Denis Shapovalov;23;1640;2022-08-22;21;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Daniel Evans;32;1510;2022-08-22;22;1990-05-23;2006;75;175;Angleterre;England;Birmingham;One_Handed;Right_Handed
Botic van de Zandschulp;26;1503;2022-08-22;23;1995-10-04;2016;85;191;Pays-Bas;Netherlands;Wageningen;Two_Handed;Right_Handed
Frances Tiafoe;24;1445;2022-08-22;24;1998-01-20;2015;86;188;Etats-Unis;MD;Hyattsville;Two_Handed;Right_Handed
Gael Monfils;35;1435;2022-08-22;25;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Nick Kyrgios;27;1430;2022-08-22;26;1995-04-27;2013;85;193;Australie;Australia;Canberra;Two_Handed;Right_Handed
Francisco Cerundolo;24;1400;2022-08-22;27;1998-08-13;2018;80;185;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Reilly Opelka;24;1365;2022-08-22;28;1997-08-28;2015;102;211;Etats-Unis;MI;St. Joseph;Two_Handed;Right_Handed
Borna Coric;25;1360;2022-08-22;29;1996-11-14;2013;85;188;Croatie;Croatia;Zagreb;Two_Handed;Right_Handed
Lorenzo Musetti;20;1322;2022-08-22;30;2002-03-03;2019;78;185;Italie;Italy;Carrara;One_Handed;Right_Handed
Daniil Medvedev;26;6885;2022-08-15;1;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Alexander Zverev;25;6760;2022-08-15;2;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
