"Date","HomeTeam","Result","HomeGoals","AwayGoals","AwayTeam","League","Goals_Number","Year","Yearbis"
1995-07-18,"SC Bastia","2:2","2","2","Paris SG","Ligue 1",4,1995,1995
1995-07-19,"Cannes","3:0","3","0","Olympique Lyon","Ligue 1",3,1995,1995
1995-07-19,"Monaco","3:1","3","1","Stade Rennais","Ligue 1",4,1995,1995
1995-07-19,"Guingamp","2:0","2","0","FC Martigues","Ligue 1",2,1995,1995
1995-07-19,"Lens","2:0","2","0","Le Havre AC","Ligue 1",2,1995,1995
1995-07-19,"G. Bordeaux","1:0","1","0","LOSC Lille","Ligue 1",1,1995,1995
1995-07-19,"FC Nantes","1:0","1","0","AJ Auxerre","Ligue 1",1,1995,1995
1995-07-19,"Montpellier","2:2","2","2","R. Strasbourg","Ligue 1",4,1995,1995
1995-07-19,"Saint-Étienne","1:1","1","1","OGC Nice","Ligue 1",2,1995,1995
1995-07-19,"FC Gueugnon","0:0","0","0","FC Metz","Ligue 1",0,1995,1995
1995-07-25,"OGC Nice","1:2","1","2","Monaco","Ligue 1",3,1995,1995
1995-07-26,"FC Martigues","0:4","0","4","FC Nantes","Ligue 1",4,1995,1995
1995-07-26,"G. Bordeaux","2:0","2","0","Saint-Étienne","Ligue 1",2,1995,1995
1995-07-26,"R. Strasbourg","3:0","3","0","Le Havre AC","Ligue 1",3,1995,1995
1995-07-26,"LOSC Lille","0:2","0","2","SC Bastia","Ligue 1",2,1995,1995
1995-07-26,"Paris SG","1:1","1","1","Guingamp","Ligue 1",2,1995,1995
1995-07-26,"FC Metz","2:0","2","0","Lens","Ligue 1",2,1995,1995
1995-07-26,"AJ Auxerre","4:0","4","0","FC Gueugnon","Ligue 1",4,1995,1995
1995-07-26,"Stade Rennais","3:2","3","2","Cannes","Ligue 1",5,1995,1995
1995-07-26,"Olympique Lyon","3:2","3","2","Montpellier","Ligue 1",5,1995,1995
1995-08-04,"FC Nantes","1:2","1","2","Paris SG","Ligue 1",3,1995,1995
1995-08-05,"SC Bastia","2:0","2","0","G. Bordeaux","Ligue 1",2,1995,1995
1995-08-05,"Monaco","2:2","2","2","AJ Auxerre","Ligue 1",4,1995,1995
1995-08-05,"Cannes","1:2","1","2","FC Metz","Ligue 1",3,1995,1995
1995-08-05,"Lens","0:0","0","0","R. Strasbourg","Ligue 1",0,1995,1995
1995-08-05,"Guingamp","0:0","0","0","OGC Nice","Ligue 1",0,1995,1995
1995-08-05,"Montpellier","3:1","3","1","Stade Rennais","Ligue 1",4,1995,1995
1995-08-05,"Le Havre AC","2:1","2","1","Olympique Lyon","Ligue 1",3,1995,1995
1995-08-05,"Saint-Étienne","1:1","1","1","LOSC Lille","Ligue 1",2,1995,1995
1995-08-05,"FC Gueugnon","0:0","0","0","FC Martigues","Ligue 1",0,1995,1995
1995-08-09,"SC Bastia","2:1","2","1","Monaco","Ligue 1",3,1995,1995
1995-08-09,"FC Metz","1:0","1","0","Montpellier","Ligue 1",1,1995,1995
1995-08-09,"Paris SG","4:0","4","0","Saint-Étienne","Ligue 1",4,1995,1995
1995-08-09,"AJ Auxerre","0:1","0","1","Lens","Ligue 1",1,1995,1995
1995-08-09,"LOSC Lille","0:3","0","3","Guingamp","Ligue 1",3,1995,1995
1995-08-09,"FC Martigues","2:1","2","1","Cannes","Ligue 1",3,1995,1995
1995-08-09,"Stade Rennais","1:0","1","0","Le Havre AC","Ligue 1",1,1995,1995
1995-08-09,"OGC Nice","3:1","3","1","FC Gueugnon","Ligue 1",4,1995,1995
1995-09-01,"G. Bordeaux","3:0","3","0","FC Nantes","Ligue 1",3,1995,1995
1995-09-01,"Olympique Lyon","1:1","1","1","R. Strasbourg","Ligue 1",2,1995,1995
1995-08-19,"FC Gueugnon","1:3","1","3","Paris SG","Ligue 1",4,1995,1995
1995-08-19,"Le Havre AC","0:0","0","0","FC Metz","Ligue 1",0,1995,1995
1995-08-19,"Montpellier","3:1","3","1","AJ Auxerre","Ligue 1",4,1995,1995
1995-08-19,"FC Nantes","1:0","1","0","OGC Nice","Ligue 1",1,1995,1995
1995-08-19,"Lens","2:2","2","2","Olympique Lyon","Ligue 1",4,1995,1995
1995-08-19,"R. Strasbourg","3:1","3","1","Stade Rennais","Ligue 1",4,1995,1995
1995-08-19,"Cannes","2:1","2","1","LOSC Lille","Ligue 1",3,1995,1995
1995-08-19,"Monaco","0:1","0","1","FC Martigues","Ligue 1",1,1995,1995
1995-08-19,"Saint-Étienne","3:0","3","0","SC Bastia","Ligue 1",3,1995,1995
1995-08-20,"Guingamp","1:0","1","0","G. Bordeaux","Ligue 1",1,1995,1995
1995-08-25,"LOSC Lille","0:0","0","0","FC Nantes","Ligue 1",0,1995,1995
1995-08-26,"Paris SG","2:0","2","0","Le Havre AC","Ligue 1",2,1995,1995
1995-08-26,"FC Metz","3:2","3","2","R. Strasbourg","Ligue 1",5,1995,1995
1995-08-26,"Saint-Étienne","4:0","4","0","Guingamp","Ligue 1",4,1995,1995
1995-08-26,"G. Bordeaux","2:4","2","4","Monaco","Ligue 1",6,1995,1995
1995-08-26,"FC Martigues","0:1","0","1","Montpellier","Ligue 1",1,1995,1995
1995-08-26,"SC Bastia","1:2","1","2","FC Gueugnon","Ligue 1",3,1995,1995
1995-08-26,"OGC Nice","1:1","1","1","Lens","Ligue 1",2,1995,1995
1995-08-26,"Stade Rennais","1:0","1","0","Olympique Lyon","Ligue 1",1,1995,1995
1995-08-26,"AJ Auxerre","5:1","5","1","Cannes","Ligue 1",6,1995,1995
1995-08-29,"Olympique Lyon","1:1","1","1","FC Metz","Ligue 1",2,1995,1995
1995-08-29,"FC Nantes","2:2","2","2","Saint-Étienne","Ligue 1",4,1995,1995
1995-08-29,"FC Gueugnon","2:2","2","2","G. Bordeaux","Ligue 1",4,1995,1995
1995-08-29,"Lens","1:0","1","0","Stade Rennais","Ligue 1",1,1995,1995
1995-08-29,"Monaco","2:1","2","1","LOSC Lille","Ligue 1",3,1995,1995
1995-08-29,"Le Havre AC","0:4","0","4","AJ Auxerre","Ligue 1",4,1995,1995
1995-08-29,"R. Strasbourg","2:0","2","0","FC Martigues","Ligue 1",2,1995,1995
1995-08-29,"Cannes","0:2","0","2","Paris SG","Ligue 1",2,1995,1995
1995-08-29,"Montpellier","0:1","0","1","OGC Nice","Ligue 1",1,1995,1995
1995-08-30,"Guingamp","1:0","1","0","SC Bastia","Ligue 1",1,1995,1995
1995-09-09,"Paris SG","2:1","2","1","Monaco","Ligue 1",3,1995,1995
1995-09-09,"SC Bastia","4:1","4","1","FC Nantes","Ligue 1",5,1995,1995
1995-09-09,"Saint-Étienne","2:0","2","0","FC Gueugnon","Ligue 1",2,1995,1995
1995-09-09,"Guingamp","0:0","0","0","Montpellier","Ligue 1",0,1995,1995
1995-09-09,"AJ Auxerre","1:0","1","0","R. Strasbourg","Ligue 1",1,1995,1995
1995-09-09,"FC Martigues","1:2","1","2","Olympique Lyon","Ligue 1",3,1995,1995
1995-09-09,"OGC Nice","1:2","1","2","Le Havre AC","Ligue 1",3,1995,1995
1995-09-09,"G. Bordeaux","2:1","2","1","Cannes","Ligue 1",3,1995,1995
1995-09-09,"LOSC Lille","1:3","1","3","Lens","Ligue 1",4,1995,1995
1995-09-10,"FC Metz","0:0","0","0","Stade Rennais","Ligue 1",0,1995,1995
1995-09-16,"Monaco","0:1","0","1","FC Metz","Ligue 1",1,1995,1995
1995-09-16,"Olympique Lyon","0:1","0","1","AJ Auxerre","Ligue 1",1,1995,1995
1995-09-16,"FC Nantes","0:0","0","0","Guingamp","Ligue 1",0,1995,1995
1995-09-16,"R. Strasbourg","1:1","1","1","OGC Nice","Ligue 1",2,1995,1995
1995-09-16,"Cannes","2:0","2","0","Saint-Étienne","Ligue 1",2,1995,1995
1995-09-16,"Stade Rennais","1:3","1","3","FC Martigues","Ligue 1",4,1995,1995
1995-09-16,"FC Gueugnon","3:1","3","1","LOSC Lille","Ligue 1",4,1995,1995
1995-09-17,"Lens","3:1","3","1","SC Bastia","Ligue 1",4,1995,1995
1995-09-17,"Le Havre AC","1:0","1","0","G. Bordeaux","Ligue 1",1,1995,1995
1995-09-17,"Montpellier","1:0","1","0","Paris SG","Ligue 1",1,1995,1995
1995-09-21,"Saint-Étienne","2:4","2","4","Monaco","Ligue 1",6,1995,1995
1995-09-22,"Paris SG","2:0","2","0","R. Strasbourg","Ligue 1",2,1995,1995
1995-09-22,"FC Martigues","0:1","0","1","FC Metz","Ligue 1",1,1995,1995
1995-09-22,"AJ Auxerre","2:1","2","1","Stade Rennais","Ligue 1",3,1995,1995
1995-09-22,"FC Nantes","1:1","1","1","Lens","Ligue 1",2,1995,1995
1995-09-22,"Guingamp","0:0","0","0","FC Gueugnon","Ligue 1",0,1995,1995
1995-09-22,"G. Bordeaux","3:0","3","0","Montpellier","Ligue 1",3,1995,1995
1995-09-22,"SC Bastia","2:1","2","1","Cannes","Ligue 1",3,1995,1995
1995-09-22,"OGC Nice","1:0","1","0","Olympique Lyon","Ligue 1",1,1995,1995
1995-09-22,"LOSC Lille","2:0","2","0","Le Havre AC","Ligue 1",2,1995,1995
1995-09-30,"FC Metz","3:1","3","1","AJ Auxerre","Ligue 1",4,1995,1995
1995-09-30,"Monaco","1:0","1","0","Guingamp","Ligue 1",1,1995,1995
1995-09-30,"Cannes","1:3","1","3","OGC Nice","Ligue 1",4,1995,1995
1995-09-30,"Stade Rennais","2:0","2","0","SC Bastia","Ligue 1",2,1995,1995
1995-09-30,"FC Gueugnon","0:1","0","1","FC Nantes","Ligue 1",1,1995,1995
1995-09-30,"Montpellier","0:0","0","0","LOSC Lille","Ligue 1",0,1995,1995
1995-09-30,"Le Havre AC","1:0","1","0","FC Martigues","Ligue 1",1,1995,1995
1995-09-30,"Olympique Lyon","2:1","2","1","Saint-Étienne","Ligue 1",3,1995,1995
1995-10-01,"Lens","3:1","3","1","Paris SG","Ligue 1",4,1995,1995
1995-10-01,"R. Strasbourg","3:0","3","0","G. Bordeaux","Ligue 1",3,1995,1995
1995-10-03,"FC Nantes","2:2","2","2","Monaco","Ligue 1",4,1995,1995
1995-10-04,"OGC Nice","0:1","0","1","FC Metz","Ligue 1",1,1995,1995
1995-10-04,"Paris SG","1:1","1","1","Stade Rennais","Ligue 1",2,1995,1995
1995-10-04,"FC Gueugnon","0:1","0","1","Lens","Ligue 1",1,1995,1995
1995-10-04,"FC Martigues","1:2","1","2","AJ Auxerre","Ligue 1",3,1995,1995
1995-10-04,"Saint-Étienne","0:2","0","2","Montpellier","Ligue 1",2,1995,1995
1995-10-04,"LOSC Lille","2:0","2","0","R. Strasbourg","Ligue 1",2,1995,1995
1995-10-04,"Guingamp","2:0","2","0","Cannes","Ligue 1",2,1995,1995
1995-10-04,"G. Bordeaux","1:1","1","1","Olympique Lyon","Ligue 1",2,1995,1995
1995-10-04,"SC Bastia","1:0","1","0","Le Havre AC","Ligue 1",1,1995,1995
1995-10-13,"Lens","1:0","1","0","FC Martigues","Ligue 1",1,1995,1995
1995-10-14,"FC Metz","2:0","2","0","G. Bordeaux","Ligue 1",2,1995,1995
1995-10-14,"AJ Auxerre","2:1","2","1","OGC Nice","Ligue 1",3,1995,1995
1995-10-14,"Olympique Lyon","0:0","0","0","Paris SG","Ligue 1",0,1995,1995
1995-10-14,"Monaco","0:0","0","0","FC Gueugnon","Ligue 1",0,1995,1995
1995-10-14,"Montpellier","4:3","4","3","SC Bastia","Ligue 1",7,1995,1995
1995-10-14,"R. Strasbourg","0:0","0","0","Guingamp","Ligue 1",0,1995,1995
1995-10-14,"Cannes","0:2","0","2","FC Nantes","Ligue 1",2,1995,1995
1995-10-14,"Stade Rennais","3:1","3","1","LOSC Lille","Ligue 1",4,1995,1995
1995-10-15,"Le Havre AC","2:2","2","2","Saint-Étienne","Ligue 1",4,1995,1995
1995-10-21,"LOSC Lille","0:0","0","0","FC Metz","Ligue 1",0,1995,1995
1995-10-21,"Saint-Étienne","1:1","1","1","Lens","Ligue 1",2,1995,1995
1995-10-21,"Monaco","3:1","3","1","Montpellier","Ligue 1",4,1995,1995
1995-10-21,"Guingamp","2:2","2","2","Le Havre AC","Ligue 1",4,1995,1995
1995-10-21,"FC Nantes","0:0","0","0","Olympique Lyon","Ligue 1",0,1995,1995
1995-10-21,"SC Bastia","1:1","1","1","R. Strasbourg","Ligue 1",2,1995,1995
1995-10-21,"OGC Nice","1:0","1","0","FC Martigues","Ligue 1",1,1995,1995
1995-10-21,"G. Bordeaux","0:0","0","0","Stade Rennais","Ligue 1",0,1995,1995
1995-10-21,"FC Gueugnon","1:1","1","1","Cannes","Ligue 1",2,1995,1995
1995-10-22,"Paris SG","3:1","3","1","AJ Auxerre","Ligue 1",4,1995,1995
1995-10-26,"FC Metz","0:3","0","3","Paris SG","Ligue 1",3,1995,1995
1995-10-27,"Lens","0:1","0","1","Guingamp","Ligue 1",1,1995,1995
1995-10-27,"AJ Auxerre","1:2","1","2","LOSC Lille","Ligue 1",3,1995,1995
1995-10-27,"Cannes","1:1","1","1","Monaco","Ligue 1",2,1995,1995
1995-10-27,"Le Havre AC","0:1","0","1","FC Nantes","Ligue 1",1,1995,1995
1995-10-27,"Montpellier","2:2","2","2","FC Gueugnon","Ligue 1",4,1995,1995
1995-10-27,"R. Strasbourg","3:1","3","1","Saint-Étienne","Ligue 1",4,1995,1995
1995-10-27,"Olympique Lyon","1:1","1","1","SC Bastia","Ligue 1",2,1995,1995
1995-10-27,"Stade Rennais","1:0","1","0","OGC Nice","Ligue 1",1,1995,1995
1995-10-27,"FC Martigues","3:1","3","1","G. Bordeaux","Ligue 1",4,1995,1995
1995-11-04,"SC Bastia","1:0","1","0","FC Metz","Ligue 1",1,1995,1995
1995-11-04,"Monaco","1:1","1","1","Lens","Ligue 1",2,1995,1995
1995-11-04,"G. Bordeaux","0:1","0","1","AJ Auxerre","Ligue 1",1,1995,1995
1995-11-04,"Guingamp","1:0","1","0","Olympique Lyon","Ligue 1",1,1995,1995
1995-11-04,"FC Nantes","1:0","1","0","Montpellier","Ligue 1",1,1995,1995
1995-11-04,"Saint-Étienne","0:0","0","0","Stade Rennais","Ligue 1",0,1995,1995
1995-11-04,"FC Gueugnon","0:1","0","1","Le Havre AC","Ligue 1",1,1995,1995
1995-11-04,"LOSC Lille","0:0","0","0","FC Martigues","Ligue 1",0,1995,1995
1995-11-05,"Cannes","0:3","0","3","R. Strasbourg","Ligue 1",3,1995,1995
1995-11-05,"Paris SG","3:2","3","2","OGC Nice","Ligue 1",5,1995,1995
1995-11-07,"Stade Rennais","3:0","3","0","Guingamp","Ligue 1",3,1995,1995
1995-11-08,"FC Martigues","2:4","2","4","Paris SG","Ligue 1",6,1995,1995
1995-11-08,"FC Metz","1:2","1","2","Saint-Étienne","Ligue 1",3,1995,1995
1995-11-08,"AJ Auxerre","3:0","3","0","SC Bastia","Ligue 1",3,1995,1995
1995-11-08,"Lens","0:0","0","0","G. Bordeaux","Ligue 1",0,1995,1995
1995-11-08,"R. Strasbourg","1:1","1","1","FC Nantes","Ligue 1",2,1995,1995
1995-11-08,"Le Havre AC","2:1","2","1","Monaco","Ligue 1",3,1995,1995
1995-11-08,"Montpellier","3:1","3","1","Cannes","Ligue 1",4,1995,1995
1995-11-08,"OGC Nice","2:1","2","1","LOSC Lille","Ligue 1",3,1995,1995
1995-11-08,"Olympique Lyon","0:0","0","0","FC Gueugnon","Ligue 1",0,1995,1995
1995-11-18,"Montpellier","0:0","0","0","Lens","Ligue 1",0,1995,1995
1995-11-18,"LOSC Lille","0:0","0","0","Paris SG","Ligue 1",0,1995,1995
1995-11-18,"Guingamp","0:0","0","0","FC Metz","Ligue 1",0,1995,1995
1995-11-18,"FC Nantes","2:2","2","2","Stade Rennais","Ligue 1",4,1995,1995
1995-11-18,"FC Gueugnon","0:1","0","1","R. Strasbourg","Ligue 1",1,1995,1995
1995-11-18,"SC Bastia","2:0","2","0","FC Martigues","Ligue 1",2,1995,1995
1995-11-18,"Monaco","0:2","0","2","Olympique Lyon","Ligue 1",2,1995,1995
1995-11-18,"G. Bordeaux","4:1","4","1","OGC Nice","Ligue 1",5,1995,1995
1995-11-18,"Cannes","0:0","0","0","Le Havre AC","Ligue 1",0,1995,1995
1995-11-19,"Saint-Étienne","0:5","0","5","AJ Auxerre","Ligue 1",5,1995,1995
1995-11-24,"R. Strasbourg","2:0","2","0","Monaco","Ligue 1",2,1995,1995
1995-11-25,"Paris SG","3:0","3","0","G. Bordeaux","Ligue 1",3,1995,1995
1995-11-25,"AJ Auxerre","1:2","1","2","Guingamp","Ligue 1",3,1995,1995
1995-11-25,"FC Metz","0:0","0","0","FC Nantes","Ligue 1",0,1995,1995
1995-11-25,"Lens","1:1","1","1","Cannes","Ligue 1",2,1995,1995
1995-11-25,"Stade Rennais","2:1","2","1","FC Gueugnon","Ligue 1",3,1995,1995
1995-11-25,"Le Havre AC","2:2","2","2","Montpellier","Ligue 1",4,1995,1995
1995-11-25,"OGC Nice","3:1","3","1","SC Bastia","Ligue 1",4,1995,1995
1995-11-25,"Olympique Lyon","1:1","1","1","LOSC Lille","Ligue 1",2,1995,1995
1995-11-25,"FC Martigues","1:1","1","1","Saint-Étienne","Ligue 1",2,1995,1995
1995-11-30,"FC Gueugnon","0:0","0","0","AJ Auxerre","Ligue 1",0,1995,1995
1995-12-01,"Guingamp","0:0","0","0","Paris SG","Ligue 1",0,1995,1995
1995-12-01,"Lens","2:0","2","0","FC Metz","Ligue 1",2,1995,1995
1995-12-01,"FC Nantes","3:0","3","0","FC Martigues","Ligue 1",3,1995,1995
1995-12-01,"Le Havre AC","2:0","2","0","R. Strasbourg","Ligue 1",2,1995,1995
1995-12-01,"Montpellier","2:1","2","1","Olympique Lyon","Ligue 1",3,1995,1995
1995-12-01,"SC Bastia","4:0","4","0","LOSC Lille","Ligue 1",4,1995,1995
1995-12-01,"Monaco","1:0","1","0","OGC Nice","Ligue 1",1,1995,1995
1995-12-01,"Cannes","3:0","3","0","Stade Rennais","Ligue 1",3,1995,1995
1995-12-01,"Saint-Étienne","2:0","2","0","G. Bordeaux","Ligue 1",2,1995,1995
1995-12-09,"Paris SG","5:0","5","0","FC Nantes","Ligue 1",5,1995,1995
1995-12-09,"AJ Auxerre","1:2","1","2","Monaco","Ligue 1",3,1995,1995
1995-12-09,"FC Metz","0:0","0","0","Cannes","Ligue 1",0,1995,1995
1995-12-09,"G. Bordeaux","1:3","1","3","SC Bastia","Ligue 1",4,1995,1995
1995-12-09,"OGC Nice","2:1","2","1","Guingamp","Ligue 1",3,1995,1995
1995-12-09,"Stade Rennais","1:1","1","1","Montpellier","Ligue 1",2,1995,1995
1995-12-09,"Olympique Lyon","3:2","3","2","Le Havre AC","Ligue 1",5,1995,1995
1995-12-09,"LOSC Lille","1:1","1","1","Saint-Étienne","Ligue 1",2,1995,1995
1995-12-09,"FC Martigues","3:0","3","0","FC Gueugnon","Ligue 1",3,1995,1995
1995-12-10,"R. Strasbourg","1:2","1","2","Lens","Ligue 1",3,1995,1995
1995-12-16,"Saint-Étienne","1:1","1","1","Paris SG","Ligue 1",2,1995,1995
1995-12-16,"Lens","0:0","0","0","AJ Auxerre","Ligue 1",0,1995,1995
1995-12-16,"FC Nantes","2:0","2","0","G. Bordeaux","Ligue 1",2,1995,1995
1995-12-16,"Monaco","0:0","0","0","SC Bastia","Ligue 1",0,1995,1995
1995-12-16,"Guingamp","0:1","0","1","LOSC Lille","Ligue 1",1,1995,1995
1995-12-16,"R. Strasbourg","2:2","2","2","Olympique Lyon","Ligue 1",4,1995,1995
1995-12-16,"Le Havre AC","0:0","0","0","Stade Rennais","Ligue 1",0,1995,1995
1995-12-16,"FC Gueugnon","1:0","1","0","OGC Nice","Ligue 1",1,1995,1995
1995-12-16,"Cannes","2:1","2","1","FC Martigues","Ligue 1",3,1995,1995
1996-01-03,"Montpellier","1:2","1","2","FC Metz","Ligue 1",3,1996,1995
1996-01-09,"FC Martigues","0:4","0","4","Monaco","Ligue 1",4,1996,1995
1996-01-10,"Paris SG","1:1","1","1","FC Gueugnon","Ligue 1",2,1996,1995
1996-01-10,"Olympique Lyon","0:0","0","0","Lens","Ligue 1",0,1996,1995
1996-01-10,"FC Metz","2:1","2","1","Le Havre AC","Ligue 1",3,1996,1995
1996-01-10,"AJ Auxerre","1:0","1","0","Montpellier","Ligue 1",1,1996,1995
1996-01-10,"SC Bastia","0:0","0","0","Saint-Étienne","Ligue 1",0,1996,1995
1996-01-10,"Stade Rennais","0:0","0","0","R. Strasbourg","Ligue 1",0,1996,1995
1996-01-10,"G. Bordeaux","2:0","2","0","Guingamp","Ligue 1",2,1996,1995
1996-01-10,"LOSC Lille","0:2","0","2","Cannes","Ligue 1",2,1996,1995
1996-01-10,"OGC Nice","1:0","1","0","FC Nantes","Ligue 1",1,1996,1995
1996-01-19,"Le Havre AC","1:1","1","1","Paris SG","Ligue 1",2,1996,1995
1996-01-20,"R. Strasbourg","1:2","1","2","FC Metz","Ligue 1",3,1996,1995
1996-01-20,"Cannes","0:1","0","1","AJ Auxerre","Ligue 1",1,1996,1995
1996-01-20,"Lens","0:0","0","0","OGC Nice","Ligue 1",0,1996,1995
1996-01-20,"Monaco","2:0","2","0","G. Bordeaux","Ligue 1",2,1996,1995
1996-01-20,"Guingamp","3:0","3","0","Saint-Étienne","Ligue 1",3,1996,1995
1996-01-20,"FC Nantes","1:2","1","2","LOSC Lille","Ligue 1",3,1996,1995
1996-01-20,"FC Gueugnon","1:0","1","0","SC Bastia","Ligue 1",1,1996,1995
1996-01-20,"Montpellier","2:0","2","0","FC Martigues","Ligue 1",2,1996,1995
1996-01-20,"Olympique Lyon","2:2","2","2","Stade Rennais","Ligue 1",4,1996,1995
1996-01-27,"Paris SG","2:1","2","1","Cannes","Ligue 1",3,1996,1995
1996-01-27,"AJ Auxerre","1:0","1","0","Le Havre AC","Ligue 1",1,1996,1995
1996-01-27,"Stade Rennais","2:1","2","1","Lens","Ligue 1",3,1996,1995
1996-01-27,"LOSC Lille","0:0","0","0","Monaco","Ligue 1",0,1996,1995
1996-01-27,"SC Bastia","0:1","0","1","Guingamp","Ligue 1",1,1996,1995
1996-01-27,"OGC Nice","1:2","1","2","Montpellier","Ligue 1",3,1996,1995
1996-01-27,"FC Martigues","2:0","2","0","R. Strasbourg","Ligue 1",2,1996,1995
1996-01-27,"G. Bordeaux","3:1","3","1","FC Gueugnon","Ligue 1",4,1996,1995
1996-01-28,"Saint-Étienne","0:0","0","0","FC Nantes","Ligue 1",0,1996,1995
1996-03-05,"FC Metz","0:1","0","1","Olympique Lyon","Ligue 1",1,1996,1995
1996-02-06,"Lens","1:1","1","1","LOSC Lille","Ligue 1",2,1996,1995
1996-02-07,"Monaco","1:0","1","0","Paris SG","Ligue 1",1,1996,1995
1996-02-07,"FC Nantes","3:1","3","1","SC Bastia","Ligue 1",4,1996,1995
1996-02-07,"Le Havre AC","0:0","0","0","OGC Nice","Ligue 1",0,1996,1995
1996-02-07,"Cannes","1:1","1","1","G. Bordeaux","Ligue 1",2,1996,1995
1996-02-07,"Olympique Lyon","5:1","5","1","FC Martigues","Ligue 1",6,1996,1995
1996-02-23,"FC Gueugnon","1:0","1","0","Saint-Étienne","Ligue 1",1,1996,1995
1996-03-05,"R. Strasbourg","1:0","1","0","AJ Auxerre","Ligue 1",1,1996,1995
1996-03-16,"Stade Rennais","0:0","0","0","FC Metz","Ligue 1",0,1996,1995
1996-04-05,"Montpellier","2:1","2","1","Guingamp","Ligue 1",3,1996,1995
1996-02-10,"AJ Auxerre","2:0","2","0","Olympique Lyon","Ligue 1",2,1996,1995
1996-02-10,"SC Bastia","3:2","3","2","Lens","Ligue 1",5,1996,1995
1996-02-10,"Guingamp","3:1","3","1","FC Nantes","Ligue 1",4,1996,1995
1996-02-10,"FC Martigues","1:2","1","2","Stade Rennais","Ligue 1",3,1996,1995
1996-02-10,"OGC Nice","2:2","2","2","R. Strasbourg","Ligue 1",4,1996,1995
1996-02-10,"G. Bordeaux","3:1","3","1","Le Havre AC","Ligue 1",4,1996,1995
1996-02-10,"LOSC Lille","2:0","2","0","FC Gueugnon","Ligue 1",2,1996,1995
1996-02-11,"Paris SG","2:3","2","3","Montpellier","Ligue 1",5,1996,1995
1996-03-16,"Saint-Étienne","2:2","2","2","Cannes","Ligue 1",4,1996,1995
1996-04-14,"FC Metz","0:3","0","3","Monaco","Ligue 1",3,1996,1995
1996-02-16,"Lens","2:1","2","1","FC Nantes","Ligue 1",3,1996,1995
1996-02-17,"R. Strasbourg","1:0","1","0","Paris SG","Ligue 1",1,1996,1995
1996-02-17,"Stade Rennais","2:1","2","1","AJ Auxerre","Ligue 1",3,1996,1995
1996-02-17,"FC Metz","2:0","2","0","FC Martigues","Ligue 1",2,1996,1995
1996-02-17,"Monaco","2:0","2","0","Saint-Étienne","Ligue 1",2,1996,1995
1996-02-17,"Montpellier","3:0","3","0","G. Bordeaux","Ligue 1",3,1996,1995
1996-02-17,"FC Gueugnon","2:2","2","2","Guingamp","Ligue 1",4,1996,1995
1996-02-17,"Cannes","1:0","1","0","SC Bastia","Ligue 1",1,1996,1995
1996-02-17,"Olympique Lyon","1:0","1","0","OGC Nice","Ligue 1",1,1996,1995
1996-02-17,"Le Havre AC","4:1","4","1","LOSC Lille","Ligue 1",5,1996,1995
1996-02-26,"OGC Nice","1:2","1","2","Cannes","Ligue 1",3,1996,1995
1996-02-27,"Paris SG","1:0","1","0","Lens","Ligue 1",1,1996,1995
1996-02-27,"AJ Auxerre","0:0","0","0","FC Metz","Ligue 1",0,1996,1995
1996-02-27,"Guingamp","0:0","0","0","Monaco","Ligue 1",0,1996,1995
1996-02-27,"LOSC Lille","1:1","1","1","Montpellier","Ligue 1",2,1996,1995
1996-02-27,"FC Nantes","1:0","1","0","FC Gueugnon","Ligue 1",1,1996,1995
1996-02-27,"G. Bordeaux","1:1","1","1","R. Strasbourg","Ligue 1",2,1996,1995
1996-02-27,"FC Martigues","0:1","0","1","Le Havre AC","Ligue 1",1,1996,1995
1996-02-27,"Saint-Étienne","1:1","1","1","Olympique Lyon","Ligue 1",2,1996,1995
1996-04-05,"SC Bastia","0:0","0","0","Stade Rennais","Ligue 1",0,1996,1995
1996-03-01,"Monaco","4:1","4","1","FC Nantes","Ligue 1",5,1996,1995
1996-03-01,"Olympique Lyon","1:0","1","0","G. Bordeaux","Ligue 1",1,1996,1995
1996-03-02,"Stade Rennais","0:1","0","1","Paris SG","Ligue 1",1,1996,1995
1996-03-02,"AJ Auxerre","4:0","4","0","FC Martigues","Ligue 1",4,1996,1995
1996-03-02,"FC Metz","4:0","4","0","OGC Nice","Ligue 1",4,1996,1995
1996-03-02,"Lens","2:0","2","0","FC Gueugnon","Ligue 1",2,1996,1995
1996-03-02,"Montpellier","1:0","1","0","Saint-Étienne","Ligue 1",1,1996,1995
1996-03-02,"Cannes","3:0","3","0","Guingamp","Ligue 1",3,1996,1995
1996-03-02,"R. Strasbourg","2:0","2","0","LOSC Lille","Ligue 1",2,1996,1995
1996-03-02,"Le Havre AC","1:0","1","0","SC Bastia","Ligue 1",1,1996,1995
1996-03-09,"OGC Nice","1:3","1","3","AJ Auxerre","Ligue 1",4,1996,1995
1996-03-09,"FC Martigues","0:1","0","1","Lens","Ligue 1",1,1996,1995
1996-03-09,"FC Gueugnon","2:2","2","2","Monaco","Ligue 1",4,1996,1995
1996-03-09,"G. Bordeaux","4:0","4","0","FC Metz","Ligue 1",4,1996,1995
1996-03-09,"SC Bastia","1:0","1","0","Montpellier","Ligue 1",1,1996,1995
1996-03-09,"Guingamp","3:0","3","0","R. Strasbourg","Ligue 1",3,1996,1995
1996-03-09,"FC Nantes","2:0","2","0","Cannes","Ligue 1",2,1996,1995
