"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"CA Osasuna","5-3-2",1595,"Away","Yes","Yes","3_5d_2s",26.7,4.84,7,53,"Liga",0.65,1.39473684210526
"Villarreal CF","4-3-3",1596,"Home","No","No","4d_1s",25.8,8.45,5,64,"Liga",0.75,1.68421052631579
"Valencia CF","4-3-3",1596,"Away","No","No","4d_1s",24,6.24,14,42,"Liga",0.3,1.10526315789474
"Elche CF","3-4-3",1597,"Home","Yes","No","3_5d_1s",26.5,1.69,20,25,"Liga",0,0.657894736842105
"Celta de Vigo","5-4-1",1597,"Away","Yes","No","3_5d_1s",25.2,3.86,13,43,"Liga",0.35,1.13157894736842
"Valencia CF","4-3-3",1598,"Home","No","No","4d_1s",24,6.24,14,42,"Liga",0.3,1.10526315789474
"Cádiz CF","4-2-3-1",1598,"Away","No","No","4d_1s",26.8,1.4,16,42,"Liga",0.2,1.10526315789474
"Villarreal CF","4-3-3",1599,"Home","No","No","4d_1s",25.8,8.45,5,64,"Liga",0.75,1.68421052631579
"Real Madrid","4-3-3",1599,"Away","No","No","4d_1s",25.4,25.65,2,78,"Liga",0.9,2.05263157894737
"RCD Mallorca","3-4-2-1",1600,"Home","Yes","No","3_5d_1s",26.3,2.82,9,50,"Liga",0.55,1.31578947368421
"Real Valladolid CF","4-3-3",1600,"Away","No","No","4d_1s",26.3,2.21,18,40,"Liga",0.1,1.05263157894737
"RCD Espanyol Barcelona","4-3-3",1601,"Home","No","No","4d_1s",25.5,3.23,19,37,"Liga",0.05,0.973684210526316
"Girona FC","4-1-4-1",1601,"Away","No","No","4d_1s",25.1,3.78,10,49,"Liga",0.5,1.28947368421053
"UD Almería","4-3-3",1602,"Home","No","No","4d_1s",25.4,3.17,17,41,"Liga",0.15,1.07894736842105
"Real Sociedad","4-3-1-2",1602,"Away","No","Yes","4d_2s",24.5,11.94,4,71,"Liga",0.8,1.86842105263158
"Rayo Vallecano","4-4-1-1",1603,"Home","No","No","4d_1s",28.1,3.57,12,49,"Liga",0.4,1.28947368421053
"Real Betis Balompié","4-2-3-1",1603,"Away","No","No","4d_1s",27.1,6.48,6,60,"Liga",0.7,1.57894736842105
"Sevilla FC","3-1-4-2",1604,"Home","Yes","Yes","3_5d_2s",26.3,5.54,11,49,"Liga",0.45,1.28947368421053
"Getafe CF","3-5-2",1604,"Away","Yes","Yes","3_5d_2s",26,3.5,15,42,"Liga",0.25,1.10526315789474
"Atlético de Madrid","4-4-2",1605,"Home","No","Yes","4d_2s",25.4,13.36,3,77,"Liga",0.85,2.02631578947368
"FC Barcelona","4-3-3",1605,"Away","No","No","4d_1s",24,20.41,1,88,"Liga",0.95,2.31578947368421
"Athletic Bilbao","4-2-3-1",1606,"Home","No","No","4d_1s",26.6,7.18,8,51,"Liga",0.6,1.34210526315789
"CA Osasuna","4-3-3",1606,"Away","No","No","4d_1s",26.7,4.84,7,53,"Liga",0.65,1.39473684210526
"Celta de Vigo","3-4-2-1",1607,"Home","Yes","No","3_5d_1s",25.2,3.86,13,43,"Liga",0.35,1.13157894736842
"Villarreal CF","4-3-3",1607,"Away","No","No","4d_1s",25.8,8.45,5,64,"Liga",0.75,1.68421052631579
"Real Valladolid CF","4-3-3",1608,"Home","No","No","4d_1s",26.3,2.21,18,40,"Liga",0.1,1.05263157894737
"Rayo Vallecano","4-2-3-1",1608,"Away","No","No","4d_1s",28.1,3.57,12,49,"Liga",0.4,1.28947368421053
"Girona FC","4-2-3-1",1609,"Home","No","No","4d_1s",25.1,3.78,10,49,"Liga",0.5,1.28947368421053
"Sevilla FC","3-5-2",1609,"Away","Yes","Yes","3_5d_2s",26.3,5.54,11,49,"Liga",0.45,1.28947368421053
"CA Osasuna","4-3-3",1610,"Home","No","No","4d_1s",26.7,4.84,7,53,"Liga",0.65,1.39473684210526
"RCD Mallorca","5-4-1",1610,"Away","Yes","No","3_5d_1s",26.3,2.82,9,50,"Liga",0.55,1.31578947368421
"Real Sociedad","4-3-1-2",1611,"Home","No","Yes","4d_2s",24.5,11.94,4,71,"Liga",0.8,1.86842105263158
"Athletic Bilbao","4-2-3-1",1611,"Away","No","No","4d_1s",26.6,7.18,8,51,"Liga",0.6,1.34210526315789
"Getafe CF","3-5-2",1612,"Home","Yes","Yes","3_5d_2s",26,3.5,15,42,"Liga",0.25,1.10526315789474
"RCD Espanyol Barcelona","3-4-3",1612,"Away","Yes","No","3_5d_1s",25.5,3.23,19,37,"Liga",0.05,0.973684210526316
"UD Almería","4-1-4-1",1613,"Home","No","No","4d_1s",25.4,3.17,17,41,"Liga",0.15,1.07894736842105
"Atlético de Madrid","4-1-4-1",1613,"Away","No","No","4d_1s",25.4,13.36,3,77,"Liga",0.85,2.02631578947368
"Cádiz CF","4-2-3-1",1614,"Home","No","No","4d_1s",26.8,1.4,16,42,"Liga",0.2,1.10526315789474
"Elche CF","5-4-1",1614,"Away","Yes","No","3_5d_1s",26.5,1.69,20,25,"Liga",0,0.657894736842105
"Real Betis Balompié","4-2-3-1",1615,"Home","No","No","4d_1s",27.1,6.48,6,60,"Liga",0.7,1.57894736842105
"FC Barcelona","4-3-3",1615,"Away","No","No","4d_1s",24,20.41,1,88,"Liga",0.95,2.31578947368421
"Real Madrid","4-3-3",1616,"Home","No","No","4d_1s",25.4,25.65,2,78,"Liga",0.9,2.05263157894737
"Valencia CF","4-3-3",1616,"Away","No","No","4d_1s",24,6.24,14,42,"Liga",0.3,1.10526315789474
"RCD Mallorca","5-4-1",1617,"Home","Yes","No","3_5d_1s",26.3,2.82,9,50,"Liga",0.55,1.31578947368421
"Celta de Vigo","5-3-2",1617,"Away","Yes","Yes","3_5d_2s",25.2,3.86,13,43,"Liga",0.35,1.13157894736842
"Rayo Vallecano","4-2-3-1",1618,"Home","No","No","4d_1s",28.1,3.57,12,49,"Liga",0.4,1.28947368421053
"Real Sociedad","4-3-1-2",1618,"Away","No","Yes","4d_2s",24.5,11.94,4,71,"Liga",0.8,1.86842105263158
"RCD Espanyol Barcelona","4-4-2",1619,"Home","No","Yes","4d_2s",25.5,3.23,19,37,"Liga",0.05,0.973684210526316
"Real Betis Balompié","4-2-3-1",1619,"Away","No","No","4d_1s",27.1,6.48,6,60,"Liga",0.7,1.57894736842105
"Atlético de Madrid","4-1-4-1",1620,"Home","No","No","4d_1s",25.4,13.36,3,77,"Liga",0.85,2.02631578947368
"Real Valladolid CF","5-3-2",1620,"Away","Yes","Yes","3_5d_2s",26.3,2.21,18,40,"Liga",0.1,1.05263157894737
"Sevilla FC","3-4-2-1",1621,"Home","Yes","No","3_5d_1s",26.3,5.54,11,49,"Liga",0.45,1.28947368421053
"Cádiz CF","4-4-2",1621,"Away","No","Yes","4d_2s",26.8,1.4,16,42,"Liga",0.2,1.10526315789474
