"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"Olympique Lyon","4-3-3",1,"Home","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"AC Ajaccio","4-4-2",1,"Away","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"RC Strasbourg Alsace","3-4-1-2",2,"Home","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"AS Monaco","4-2-3-1",2,"Away","No","No","4d_1s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Clermont Foot 63","4-2-3-1",3,"Home","No","No","4d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"Paris Saint-Germain","3-4-3",3,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"FC Toulouse","4-2-3-1",4,"Home","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"OGC Nice","4-3-3",4,"Away","No","No","4d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Angers SCO","4-2-3-1",5,"Home","No","No","4d_1s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"FC Nantes","3-4-1-2",5,"Away","Yes","Yes","3_5d_2s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"LOSC Lille","4-2-3-1",6,"Home","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AJ Auxerre","4-1-4-1",6,"Away","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"Montpellier HSC","4-2-3-1",7,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"ESTAC Troyes","5-4-1",7,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"RC Lens","3-4-2-1",8,"Home","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Stade Brestois 29","4-4-2",8,"Away","No","Yes","4d_2s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"Stade Rennais FC","4-2-3-1",9,"Home","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"FC Lorient","4-2-3-1",9,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Olympique Marseille","3-4-2-1",10,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"Stade Reims","4-3-3",10,"Away","No","No","4d_1s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"FC Nantes","3-5-2",11,"Home","Yes","Yes","3_5d_2s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"LOSC Lille","4-2-3-1",11,"Away","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AS Monaco","4-4-2",12,"Home","No","Yes","4d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Stade Rennais FC","4-3-3",12,"Away","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"Paris Saint-Germain","3-4-1-2",13,"Home","Yes","Yes","3_5d_2s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"Montpellier HSC","4-1-4-1",13,"Away","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"AC Ajaccio","4-4-2",14,"Home","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"RC Lens","3-4-2-1",14,"Away","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"AJ Auxerre","4-1-4-1",15,"Home","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"Angers SCO","4-2-3-1",15,"Away","No","No","4d_1s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Stade Reims","3-4-2-1",16,"Home","Yes","No","3_5d_1s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Clermont Foot 63","4-2-3-1",16,"Away","No","No","4d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"ESTAC Troyes","5-4-1",17,"Home","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"FC Toulouse","4-2-3-1",17,"Away","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"OGC Nice","4-2-3-1",18,"Home","No","No","4d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"RC Strasbourg Alsace","3-5-2",18,"Away","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"Stade Brestois 29","4-3-3",19,"Home","No","No","4d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"Olympique Marseille","3-4-2-1",19,"Away","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"FC Lorient","4-3-3",20,"Home","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Olympique Lyon","4-3-3",20,"Away","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"Olympique Lyon","4-3-3",21,"Home","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"ESTAC Troyes","5-4-1",21,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"AS Monaco","4-4-2",22,"Home","No","Yes","4d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"RC Lens","3-4-2-1",22,"Away","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Olympique Marseille","3-4-2-1",23,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"FC Nantes","5-4-1",23,"Away","Yes","No","3_5d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"RC Strasbourg Alsace","3-5-2",24,"Home","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"Stade Reims","3-4-1-2",24,"Away","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Angers SCO","4-2-3-1",25,"Home","No","No","4d_1s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Stade Brestois 29","4-3-3",25,"Away","No","No","4d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"Clermont Foot 63","4-2-3-1",26,"Home","No","No","4d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"OGC Nice","4-1-4-1",26,"Away","No","No","4d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Montpellier HSC","4-2-3-1",27,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"AJ Auxerre","4-1-4-1",27,"Away","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"FC Toulouse","4-3-3",28,"Home","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"FC Lorient","4-2-3-1",28,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Stade Rennais FC","4-4-2",29,"Home","No","Yes","4d_2s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"AC Ajaccio","4-4-2",29,"Away","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"LOSC Lille","4-2-3-1",30,"Home","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"Paris Saint-Germain","3-4-3",30,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"AC Ajaccio","4-4-2",31,"Home","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"LOSC Lille","4-2-3-1",31,"Away","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AJ Auxerre","4-1-4-1",32,"Home","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"RC Strasbourg Alsace","3-5-2",32,"Away","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"RC Lens","3-4-2-1",33,"Home","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Stade Rennais FC","4-3-3",33,"Away","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"FC Nantes","4-3-3",34,"Home","No","No","4d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"FC Toulouse","4-2-3-1",34,"Away","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"FC Lorient","4-2-3-1",35,"Home","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Clermont Foot 63","4-2-3-1",35,"Away","No","No","4d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"OGC Nice","4-2-3-1",36,"Home","No","No","4d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Olympique Marseille","3-4-2-1",36,"Away","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"Stade Brestois 29","4-3-3",37,"Home","No","No","4d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"Montpellier HSC","4-2-3-1",37,"Away","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"ESTAC Troyes","5-4-1",38,"Home","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"Angers SCO","3-5-2",38,"Away","Yes","Yes","3_5d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Stade Reims","3-4-1-2",39,"Home","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Olympique Lyon","4-3-3",39,"Away","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"Paris Saint-Germain","3-4-3",40,"Home","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"AS Monaco","5-3-2",40,"Away","Yes","Yes","3_5d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"AS Monaco","3-4-1-2",41,"Home","Yes","Yes","3_5d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"ESTAC Troyes","5-4-1",41,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"Angers SCO","3-1-4-2",42,"Home","Yes","Yes","3_5d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Stade Reims","3-4-1-2",42,"Away","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Montpellier HSC","4-2-3-1",43,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"AC Ajaccio","4-4-2",43,"Away","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"Olympique Lyon","4-3-3",44,"Home","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"AJ Auxerre","4-1-4-1",44,"Away","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"RC Strasbourg Alsace","3-5-2",45,"Home","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"FC Nantes","4-2-3-1",45,"Away","No","No","4d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"LOSC Lille","4-2-3-1",46,"Home","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"OGC Nice","3-5-2",46,"Away","Yes","Yes","3_5d_2s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Olympique Marseille","3-4-2-1",47,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"Clermont Foot 63","3-4-2-1",47,"Away","Yes","No","3_5d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"RC Lens","3-4-2-1",48,"Home","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"FC Lorient","4-3-3",48,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Stade Rennais FC","4-3-3",49,"Home","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"Stade Brestois 29","4-2-3-1",49,"Away","No","No","4d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"FC Toulouse","5-4-1",50,"Home","Yes","No","3_5d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Paris Saint-Germain","5-4-1",50,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"AJ Auxerre","4-3-3",51,"Home","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"Olympique Marseille","3-4-2-1",51,"Away","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"Olympique Lyon","4-3-3",52,"Home","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"Angers SCO","5-3-2",52,"Away","Yes","Yes","3_5d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"FC Nantes","3-4-3",53,"Home","Yes","No","3_5d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"Paris Saint-Germain","3-4-3",53,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"Montpellier HSC","4-3-2-1",54,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"LOSC Lille","4-2-3-1",54,"Away","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AC Ajaccio","4-4-2",55,"Home","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"FC Lorient","4-3-3",55,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Clermont Foot 63","3-4-2-1",56,"Home","Yes","No","3_5d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"FC Toulouse","4-2-3-1",56,"Away","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Stade Brestois 29","4-2-3-1",57,"Home","No","No","4d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"RC Strasbourg Alsace","3-5-2",57,"Away","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"Stade Reims","3-4-1-2",58,"Home","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"RC Lens","3-4-2-1",58,"Away","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"ESTAC Troyes","5-4-1",59,"Home","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"Stade Rennais FC","4-3-3",59,"Away","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"OGC Nice","3-4-3",60,"Home","Yes","No","3_5d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"AS Monaco","3-4-3",60,"Away","Yes","No","3_5d_1s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"RC Lens","3-4-2-1",61,"Home","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"ESTAC Troyes","5-4-1",61,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"Paris Saint-Germain","3-4-1-2",62,"Home","Yes","Yes","3_5d_2s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"Stade Brestois 29","5-4-1",62,"Away","Yes","No","3_5d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"Olympique Marseille","5-4-1",63,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"LOSC Lille","5-4-1",63,"Away","Yes","No","3_5d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"RC Strasbourg Alsace","4-3-1-2",64,"Home","No","Yes","4d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"Clermont Foot 63","3-4-3",64,"Away","Yes","No","3_5d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"AC Ajaccio","4-4-2",65,"Home","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"OGC Nice","4-4-2",65,"Away","No","Yes","4d_2s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Angers SCO","4-4-2",66,"Home","No","Yes","4d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Montpellier HSC","4-2-3-1",66,"Away","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"FC Lorient","4-2-3-1",67,"Home","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"FC Nantes","4-3-3",67,"Away","No","No","4d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"FC Toulouse","4-2-3-1",68,"Home","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Stade Reims","3-4-1-2",68,"Away","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Stade Rennais FC","4-4-2",69,"Home","No","Yes","4d_2s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"AJ Auxerre","4-1-4-1",69,"Away","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"AS Monaco","5-4-1",70,"Home","Yes","No","3_5d_1s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Olympique Lyon","4-3-3",70,"Away","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"AJ Auxerre","4-1-4-1",71,"Home","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"FC Lorient","4-2-3-1",71,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Montpellier HSC","4-2-3-1",72,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"RC Strasbourg Alsace","3-5-2",72,"Away","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"LOSC Lille","4-2-3-1",73,"Home","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"FC Toulouse","5-3-2",73,"Away","Yes","Yes","3_5d_2s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Stade Reims","5-3-2",74,"Home","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"AS Monaco","4-4-2",74,"Away","No","Yes","4d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Clermont Foot 63","3-4-2-1",75,"Home","Yes","No","3_5d_1s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"ESTAC Troyes","5-4-1",75,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"OGC Nice","4-4-2",76,"Home","No","Yes","4d_2s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"Angers SCO","4-4-2",76,"Away","No","Yes","4d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Olympique Marseille","3-4-2-1",77,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"Stade Rennais FC","4-2-3-1",77,"Away","No","No","4d_1s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"Stade Brestois 29","5-3-2",78,"Home","Yes","Yes","3_5d_2s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"AC Ajaccio","4-4-2",78,"Away","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"FC Nantes","3-4-3",79,"Home","Yes","No","3_5d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"RC Lens","3-4-2-1",79,"Away","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Olympique Lyon","4-4-2",80,"Home","No","Yes","4d_2s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"Paris Saint-Germain","3-4-3",80,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"Angers SCO","4-4-2",81,"Home","No","Yes","4d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"Olympique Marseille","3-4-2-1",81,"Away","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"RC Strasbourg Alsace","3-5-2",82,"Home","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"Stade Rennais FC","4-4-2",82,"Away","No","Yes","4d_2s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"Paris Saint-Germain","3-4-1-2",83,"Home","Yes","Yes","3_5d_2s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"OGC Nice","5-4-1",83,"Away","Yes","No","3_5d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"FC Lorient","4-2-3-1",84,"Home","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"LOSC Lille","4-2-3-1",84,"Away","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"AC Ajaccio","4-4-2",85,"Home","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"Clermont Foot 63","3-4-1-2",85,"Away","Yes","Yes","3_5d_2s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"AJ Auxerre","4-1-4-1",86,"Home","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"Stade Brestois 29","4-2-3-1",86,"Away","No","No","4d_1s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"FC Toulouse","4-3-3",87,"Home","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Montpellier HSC","4-2-3-1",87,"Away","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"ESTAC Troyes","5-3-2",88,"Home","Yes","Yes","3_5d_2s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"Stade Reims","3-4-1-2",88,"Away","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"AS Monaco","4-4-2",89,"Home","No","Yes","4d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"FC Nantes","5-4-1",89,"Away","Yes","No","3_5d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"RC Lens","3-4-2-1",90,"Home","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Olympique Lyon","4-2-3-1",90,"Away","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"Olympique Lyon","4-2-3-1",91,"Home","No","No","4d_1s",24.9,10.32,7,62,"Ligue 1",0.65,1.63157894736842
"FC Toulouse","4-3-3",91,"Away","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Olympique Marseille","3-4-2-1",92,"Home","Yes","No","3_5d_1s",25.2,8.96,3,73,"Ligue 1",0.85,1.92105263157895
"AC Ajaccio","4-4-2",92,"Away","No","Yes","4d_2s",26.6,0.659,18,26,"Ligue 1",0.1,0.684210526315789
"Stade Reims","3-5-2",93,"Home","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"Paris Saint-Germain","3-4-2-1",93,"Away","Yes","No","3_5d_1s",25.5,24.09,1,85,"Ligue 1",0.95,2.23684210526316
"Montpellier HSC","4-2-3-1",94,"Home","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"AS Monaco","4-4-2",94,"Away","No","Yes","4d_2s",23.8,11.51,6,65,"Ligue 1",0.7,1.71052631578947
"Angers SCO","4-4-2",95,"Home","No","Yes","4d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
"RC Strasbourg Alsace","3-5-2",95,"Away","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"Clermont Foot 63","3-4-1-2",96,"Home","Yes","Yes","3_5d_2s",25.8,1.45,8,59,"Ligue 1",0.6,1.55263157894737
"AJ Auxerre","4-1-4-1",96,"Away","No","No","4d_1s",26,1.3,17,35,"Ligue 1",0.15,0.921052631578947
"OGC Nice","3-4-3",97,"Home","Yes","No","3_5d_1s",23.9,7.58,9,58,"Ligue 1",0.55,1.52631578947368
"ESTAC Troyes","5-4-1",97,"Away","Yes","No","3_5d_1s",24.4,1.86,19,24,"Ligue 1",0.05,0.631578947368421
"Stade Brestois 29","4-4-2",98,"Home","No","Yes","4d_2s",25.8,2.4,14,44,"Ligue 1",0.3,1.15789473684211
"FC Lorient","4-2-3-1",98,"Away","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Stade Rennais FC","4-4-2",99,"Home","No","Yes","4d_2s",23.8,10.2,4,68,"Ligue 1",0.8,1.78947368421053
"FC Nantes","4-2-3-1",99,"Away","No","No","4d_1s",25.5,3.22,16,36,"Ligue 1",0.2,0.947368421052632
"LOSC Lille","4-2-3-1",100,"Home","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"RC Lens","3-4-2-1",100,"Away","Yes","No","3_5d_1s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"RC Strasbourg Alsace","3-5-2",101,"Home","Yes","Yes","3_5d_2s",25.6,3.43,15,40,"Ligue 1",0.25,1.05263157894737
"LOSC Lille","4-2-3-1",101,"Away","No","No","4d_1s",24.8,7.51,5,67,"Ligue 1",0.75,1.76315789473684
"FC Lorient","4-2-3-1",102,"Home","No","No","4d_1s",24.1,4.18,10,55,"Ligue 1",0.5,1.44736842105263
"Stade Reims","3-5-2",102,"Away","Yes","Yes","3_5d_2s",23.4,3.98,11,51,"Ligue 1",0.45,1.34210526315789
"RC Lens","3-4-1-2",103,"Home","Yes","Yes","3_5d_2s",24.9,6.11,2,84,"Ligue 1",0.9,2.21052631578947
"Montpellier HSC","4-2-3-1",103,"Away","No","No","4d_1s",24.6,3.66,12,50,"Ligue 1",0.4,1.31578947368421
"FC Toulouse","4-3-3",104,"Home","No","No","4d_1s",23.5,2.83,13,48,"Ligue 1",0.35,1.26315789473684
"Angers SCO","5-3-2",104,"Away","Yes","Yes","3_5d_2s",24.6,1.63,20,18,"Ligue 1",0,0.473684210526316
